cell_id,animal_id,animal_diet,v_rest_mV,input_R_MOhm,membrane_tau_ms,tau_r2,sag_ratio,sag_amplitude_mV,sag_tau_ms,rheobase_pA,max_firing_rate_hz,max_inst_firing_rate_hz,fi_slope_hz_per_pA,fi_slope_r2,ap_threshold_mV,ap_peak_mV,ap_height_mV,ap_half_width_ms,ahp_depth_mV,ap_upstroke_mV_per_ms,ap_downstroke_mV_per_ms,rheobase_ramp_pA
20260506_cell1_TH,m260506,chow,-62.93951416015625,1408.8211059570312,128.2955905893817,0.9948036857821669,0.0,-0.1596832275390625,1.8785849809867379,20.0,3.0,10.952902519167587,0.02714285714285715,0.9376623376623376,-31.106529235839844,22.950854873657228,54.051513671875,3.1036669921875,18.248291015625,43.9849853515625,-19.879150390625,182.02820282028202
20260506_cell2_TH,m260506,chow,-62.198204040527344,1047.1565246582031,100.40510026806349,0.8368163436819009,0.015094853363780351,0.08205413818359375,,30.0,0.5,,,,-32.70853328704834,13.505438327789307,46.20208740234375,4.117443847656251,12.6312255859375,19.44732666015625,-13.83209228515625,106.38563856385639
20260506_cell3_TH,m260506,chow,-26.726259231567383,848.27880859375,35.11683564025319,0.9827609662509167,0.040766851554265376,0.18000030517578125,9999.999999999878,60.0,0.5,,,,-32.86151885986328,8.704382228851319,41.568603515625,4.53993896484375,8.251953125,17.41943359375,-10.723876953125,51.565156515651566
20260506_cell4_TH,m260506,chow,-57.26810836791992,1984.0728759765625,291.3950577188887,0.994668205354664,0.0,-0.5236129760742188,,20.0,4.0,12.106537530266342,0.06000000000000001,0.4056338028169014,-28.014389514923096,27.506844997406006,55.52825927734375,3.38017578125,16.70989990234375,46.6232328414917,-18.1732177734375,259.53845384538454
20260506_cell5_TH,m260506,chow,-67.65448760986328,2012.8860473632812,145.25863661708573,0.9855498281933583,0.002225279107487772,0.0214996337890625,9999.99999999999,10.0,13.0,23.52941176470589,0.49999999999999983,0.9868421052631579,-29.164918422698975,19.469560146331787,48.6358642578125,2.6924743652343754,12.21923828125,44.4488525390625,-19.87457275390625,159.87848784878486
20260506_cell7_TH,m260506,chow,-38.00734329223633,750.8895874023438,62.714236827109914,0.9875026227945671,0.0,-0.02600860595703125,2612.538991352587,20.0,4.5,11.990407673860922,0.06857142857142857,0.9680672268907563,-34.304290771484375,26.251172256469726,60.565185546875,2.5811279296875,18.297119140625,68.3654800415039,-23.01025390625,206.06060606060606
20260506_cell8_TH,m260506,chow,-72.28131866455078,1640.0650024414062,115.21695351949461,0.9962234082650006,0.0,-0.16059112548828125,,10.0,5.0,18.691588785046733,0.10999999999999999,0.968,-36.37293701171875,27.97308006286621,64.35302734375,2.198798828125,17.928466796875,88.751220703125,-30.938720703125,179.55795579557955
20260506_cell9_TH,m260506,chow,-80.40522003173828,2462.5442504882812,179.66710964664566,0.9976308942324068,0.0,-0.34882354736328125,,20.0,6.5,16.36661211129295,0.049999999999999996,1.0,-20.232579231262207,17.590646266937256,37.82958984375,3.2085571289062504,10.2264404296875,21.8353271484375,-14.41192626953125,233.4983498349835
20260506_cell10_TH,m260506,chow,-41.25273132324219,694.3458557128906,65.8003551235969,0.9901300838154742,0.12333718983973306,0.477020263671875,48.69984970714274,100.0,2.5,9.14913083257089,0.02321428571428573,0.6086434573829531,-33.400586700439455,19.86013069152832,53.228759765625,3.4902148437500005,15.15869140625,33.98437423706055,-15.8935546875,163.34633463346333
20260513_cell1_TH,m260513,HFD,-87.05020141601562,2502.3536682128906,97.11118550360668,0.998645463898621,0.0,-0.06844329833984375,0.10000000000000002,10.0,21.0,40.3225806451614,0.5499999999999998,0.9773828756058158,-17.184822845458985,13.006930541992187,30.189208984375,1.5100146484375,15.157470703125,35.27832183837891,-27.13623046875,159.005900590059
20260513_cell2_TH,m260513,HFD,-53.65596389770508,1771.759033203125,110.16946701123649,0.994459781652578,0.0,-0.18985748291015625,0.2216406366172352,10.0,8.0,22.675736961451232,0.022857142857142864,0.6730937773882559,-32.90178680419922,20.043742370605468,52.9833984375,1.9787988281250002,16.88232421875,56.90307540893555,-29.89501953125,138.6938693869387
20260513_cell3_TH,m260513,HFD,-35.168548583984375,648.18115234375,298.1100285174544,0.9386131991234096,0.06934367841605757,0.23476791381835938,9999.9999999818,40.0,1.0,4.708097928436911,0.024999999999999977,0.75,-31.61449368794759,20.866661071777344,52.421061197916664,2.1978759765625,20.125325520833332,51.493326822916664,-26.9775390625,123.22898956562322
20260514_cell1_TH,m260514_RT,,-59.59599685668945,872.7500915527344,109.43779941792877,0.9967485755228321,0.0096771531448576,0.0424957275390625,0.10000000018905328,10.0,3.5,6.031363088057899,0.03928571428571429,0.9758064516129032,-21.487664794921876,21.787827682495116,43.275146484375,2.8497802734375,27.569580078125,30.969237518310546,-18.768310546875,180.60806080608057
20260514_cell2_TH,m260514,HFD,-60.9491081237793,923.6785888671875,86.95961302526453,0.9953172851097735,0.0012513862910300763,0.005767822265625,0.10000003668811108,20.0,4.5,28.24858757062148,0.04702380952380952,0.9808266540939808,-34.52814636230469,24.577703857421874,59.171142578125,1.9586474609375002,20.67138671875,83.8745132446289,-32.855224609375,182.7882788278828
20260514_cell3_TH,m260514,HFD,-52.7877197265625,1171.5690612792969,113.45318841516877,0.9986979436369418,0.0,-0.031642913818359375,2.029906297935118,20.0,3.5,18.382352941176467,0.05000000000000001,1.0,-24.736298084259033,12.883363246917725,37.6068115234375,2.283697509765625,15.38543701171875,38.734436988830566,-21.11053466796875,156.11561156115613
20260514_cell4_TH,m260514,HFD,-52.01502990722656,1429.7164916992188,216.06868004842372,0.9995203112288968,0.0,-0.3143310546875,,20.0,4.0,12.755102040816315,0.035,0.98,-25.41432914733887,19.00785255432129,44.43359375,2.3589013671875003,16.65771484375,44.45190505981445,-23.74267578125,185.42854285428544
20260514_cell5_TH,m260514,HFD,-49.580238342285156,966.2734985351562,148.11968247346252,0.9985165733278826,0.0,-0.13734054565429688,0.10000000000000002,20.0,4.0,10.050251256281404,0.023956043956043952,0.9774578362813657,-24.9559814453125,32.37152671813965,57.344970703125,2.5458691406250002,23.568115234375,69.6899429321289,-27.74658203125,248.59485948594858
20260514_cell6_TH,m260514,HFD,-51.95042419433594,1338.0645751953125,179.5857219460563,0.9941294954564965,0.0,-0.20462799072265625,,40.0,4.5,10.537407797681773,0.019172932330827067,0.975867813245689,-24.22718391418457,35.07154388427735,59.31884765625,2.2589257812500003,24.432373046875,80.706787109375,-34.22241287231445,350.1250125012501
20260514_cell7_TH,m260514,HFD,-57.455745697021484,1349.4026184082031,252.28417169212858,0.9972910788703201,0.0,-0.33038330078125,,10.0,8.5,12.804097311139556,0.04086687306501547,0.9928393701684742,-28.964806365966798,26.30501518249512,55.301513671875,2.2158642578125,22.203369140625,79.5593276977539,-31.121826171875,202.51025102510252
20260514_cell8_TH,m260514,HFD,-36.37091064453125,366.20635986328125,50.82099457146424,0.9683320623264864,0.10163291459467046,0.20995712280273438,9999.999999991867,40.0,1.0,16.611295681063122,0.0019230769230769251,0.23076923076923062,-33.90851593017578,23.84173927307129,57.733154296875,2.0272216796875,19.6142578125,62.22534255981445,-31.18896484375,123.24232423242324
20260514_cell9_TH,m260514,HFD,,954.28466796875,115.11332554912178,0.9984625727743528,0.026277710700904917,0.12885284423828125,7.79770669445678,20.0,7.5,29.41176470588235,0.016578947368421054,0.3797099864696798,-30.385749435424806,17.80773811340332,48.243408203125,1.8726611328125002,17.40234375,69.2016616821289,-30.523681640625,126.72267226722673
20260527_cell1_TH,m260527,HFD,-63.72882080078125,3230.0247192382812,192.15720465701966,0.9983398581907462,0.0,-0.4857940673828125,,10.0,1.0,8.210180623973718,0.014999999999999993,0.5999999999999999,,,,,,,,
20260527_cell2_TH,m260527,HFD,-77.63877868652344,1990.5960083007812,121.91520402885743,0.9986448687639499,0.0,-0.08744049072265625,,30.0,4.5,16.393442622950836,0.0368181818181818,0.91890756302521,-25.93153610229492,21.77053756713867,47.684326171875,2.8110742187500004,15.20751953125,28.741455078125,-23.095703125,282.1082108210821
20260527_cell3_TH,m260527,HFD,-60.207359313964844,2289.239501953125,139.15908390318418,0.9997680052412717,0.0,-0.20783233642578125,0.10000000000000002,20.0,5.0,19.01140684410647,0.09999999999999999,0.9230769230769231,-27.60587844848633,2.0094682335853578,29.6142578125,3.8208691406250006,9.47509765625,17.19970703125,-14.19677734375,147.97479747974796
20260527_cell4_TH,m260527,HFD,-63.262001037597656,4418.272399902344,180.36884301259866,0.9980635576254051,0.0,-0.3057098388671875,1.320534323771383,10.0,9.0,40.00000000000005,0.03928571428571427,0.49590163934426246,-27.821268717447918,6.923584461212158,34.749348958333336,2.4151489257812506,7.649739583333333,37.353515625,-15.5029296875,123.19565289862318
20260528_cell1_TH,m260528,chow,-32.408355712890625,1420.9495544433594,492.0131206471311,0.9877459850060677,0.19164686615097232,1.7842559814453125,26.44260940874411,20.0,6.5,30.21148036253775,0.10178571428571431,0.9105941704035875,-31.314796924591064,17.370577812194824,48.73199462890625,1.9955078124999999,17.1295166015625,49.1790771484375,-28.2440185546875,180.01800180018003
20260528_cell2_TH,m260528,chow,-72.2967300415039,2832.402801513672,119.53835419593,0.9996750395777314,0.0,-0.1582183837890625,9999.999691552219,20.0,6.5,22.075055187637968,0.06488095238095237,0.863758633224282,-21.165358352661134,13.149192142486573,34.281005859375,2.572509765625,9.254150390625,26.062010955810546,-17.5048828125,234.5734573457346
