cell_id,mouse_id,exclusion,notes,abf_folder,free_run_file,hyperpol_file,small_steps_file,ramp_file,sagIh_file,SK_VC_file,SK_VC_apamin_file,small_steps_apamin_file,ramp_apamin_file,hyperpol_apamin_file,sagIh_apamin_file
20260814_cell4_MC,20260814_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\260814_4MC_(naive),,MC_2026_08_14_0032.abf,MC_2026_08_14_0035.abf,MC_2026_08_14_0034.abf,MC_2026_08_14_0036.abf,[MC_2026_08_14_0037.abf],[MC_2026_08_14_0041.abf],,,,
20260814_cell1_TH,20260814_SNI_M1,,sag,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-000,Elder_2026_08_14_0000.abf,Elder_2026_08_14_0001.abf,Elder_2026_08_14_0003.abf,Elder_2026_08_14_0004.abf,Elder_2026_08_14_0005.abf,"[Elder_2026_08_14_0006.abf, Elder_2026_08_14_0007.abf]","[Elder_2026_08_14_0012.abf, Elder_2026_08_14_0013.abf]",Elder_2026_08_14_0014.abf,Elder_2026_08_14_0016.abf,Elder_2026_08_14_0015.abf,Elder_2026_08_14_0017.abf
20260814_cell2_TH,20260814_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-001,Elder_2026_08_14_0021.abf,Elder_2026_08_14_0022.abf,Elder_2026_08_14_0023.abf,Elder_2026_08_14_0024.abf,Elder_2026_08_14_0025.abf,"[Elder_2026_08_14_0026.abf, Elder_2026_08_14_0027.abf]","[Elder_2026_08_14_0034.abf, Elder_2026_08_14_0035.abf]",Elder_2026_08_14_0036.abf,,,
20260814_cell3_TH,20260814_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-002,Elder_2026_08_14_0040.abf,Elder_2026_08_14_0041.abf,Elder_2026_08_14_0044.abf,Elder_2026_08_14_0043.abf,Elder_2026_08_14_0045.abf,,,,,,
20260814_cell4_TH,20260814_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-003,Elder_2026_08_14_0046.abf,Elder_2026_08_14_0047.abf,Elder_2026_08_14_0049.abf,Elder_2026_08_14_0050.abf,Elder_2026_08_14_0051.abf,"[Elder_2026_08_14_0052.abf, Elder_2026_08_14_0053.abf, Elder_2026_08_14_0054.abf]","[Elder_2026_08_14_0060.abf, Elder_2026_08_14_0061.abf, Elder_2026_08_14_0062.abf]",Elder_2026_08_14_0063.abf,Elder_2026_08_14_0064.abf,Elder_2026_08_14_0065.abf,Elder_2026_08_14_0066.abf
20260814_cell5_TH,20260814_SNI_M1,,sag,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-004,Elder_2026_08_14_0068.abf,Elder_2026_08_14_0070.abf,Elder_2026_08_14_0071.abf,Elder_2026_08_14_0072.abf,Elder_2026_08_14_0073.abf,"[Elder_2026_08_14_0077.abf, Elder_2026_08_14_0078.abf]","[Elder_2026_08_14_0084.abf, Elder_2026_08_14_0085.abf, Elder_2026_08_14_0086.abf]",Elder_2026_08_14_0087.abf,Elder_2026_08_14_0091.abf,Elder_2026_08_14_0090.abf,Elder_2026_08_14_0089.abf
20260814_cell6_TH,20260814_naive_M1,,sag,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\TH_2026-08-14-000\slice-005,Elder_2026_08_14_0093.abf,Elder_2026_08_14_0095.abf,Elder_2026_08_14_0096.abf,Elder_2026_08_14_0097.abf,Elder_2026_08_14_0098.abf,"[Elder_2026_08_14_0099.abf, Elder_2026_08_14_0100.abf, Elder_2026_08_14_0101.abf]","[Elder_2026_08_14_0103.abf, Elder_2026_08_14_0104.abf, Elder_2026_08_14_0105.abf]",Elder_2026_08_14_0108.abf,Elder_2026_08_14_0109.abf,Elder_2026_08_14_0110.abf,Elder_2026_08_14_0111.abf
20260816_cell1_MC,20260816_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08162026\260816_1MC_Naive,MC_2026_08_14_0043.abf,MC_2026_08_14_0044.abf,MC_2026_08_14_0048.abf,MC_2026_08_14_0047.abf,,[MC_2026_08_14_0050.abf],[MC_2026_08_14_0055.abf],MC_2026_08_14_0057.abf,MC_2026_08_14_0058.abf,,
20260816_cell2_MC,20260816_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08162026\260816_2MC_Naive,MC_2026_08_14_0060.abf,MC_2026_08_14_0061.abf,MC_2026_08_14_0064.abf,MC_2026_08_14_0065.abf,,[MC_2026_08_14_0067.abf],[MC_2026_08_14_0071.abf],MC_2026_08_14_0074.abf,MC_2026_08_14_0073.abf,,
20260816_cell3_MC,20260816_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08162026\260816_3MC_Naive,MC_2026_08_14_0076.abf,MC_2026_08_14_0077.abf,MC_2026_08_14_0080.abf,MC_2026_08_14_0081.abf,,[MC_2026_08_14_0082.abf],"[MC_2026_08_14_0086.abf, MC_2026_08_14_0087.abf]",MC_2026_08_14_0091.abf,MC_2026_08_14_0090.abf,,
20260817_cell1_RDG,20260817_SNI_M1,,sag,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08172026\260817_1RDG,RDG_2026_08_17_0000.abf,RDG_2026_08_17_0001.abf,RDG_2026_08_17_0002.abf,RDG_2026_08_17_0003.abf,RDG_2026_08_17_0004.abf,[RDG_2026_08_17_0005.abf],[RDG_2026_08_17_0006.abf],RDG_2026_08_17_0007.abf,RDG_2026_08_17_0009.abf,RDG_2026_08_17_0008.abf,RDG_2026_08_17_0010.abf
20260817_cell1_TH,20260817_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08172026\TH_2026-08-17-000\slice-000,Elder_2026_08_17_0000.abf,Elder_2026_08_17_0001.abf,Elder_2026_08_17_0002.abf,Elder_2026_08_17_0003.abf,Elder_2026_08_17_0004.abf,,,,,,
20260817_cell2_TH,20260817_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08172026\TH_2026-08-17-000\slice-001,Elder_2026_08_17_0012.abf,Elder_2026_08_17_0013.abf,Elder_2026_08_17_0014.abf,Elder_2026_08_17_0015.abf,Elder_2026_08_17_0016.abf,,,,,,
20260817_cell3_TH,20260817_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08172026\TH_2026-08-17-000\slice-002,Elder_2026_08_17_0024.abf,Elder_2026_08_17_0025.abf,Elder_2026_08_17_0027.abf,Elder_2026_08_17_0028.abf,Elder_2026_08_17_0029.abf,"[Elder_2026_08_17_0030.abf, Elder_2026_08_17_0031.abf]","[Elder_2026_08_17_0037.abf, Elder_2026_08_17_0038.abf]",Elder_2026_08_17_0039.abf,Elder_2026_08_17_0040.abf,Elder_2026_08_17_0041.abf,Elder_2026_08_17_0044.abf
20260817_cell4_TH,20260817_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08172026\TH_2026-08-17-000\slice-003,Elder_2026_08_17_0045.abf,Elder_2026_08_17_0046.abf,Elder_2026_08_17_0047.abf,Elder_2026_08_17_0049.abf,Elder_2026_08_17_0050.abf,"[Elder_2026_08_17_0051.abf, Elder_2026_08_17_0052.abf]","[Elder_2026_08_17_0058.abf, Elder_2026_08_17_0059.abf]",Elder_2026_08_17_0060.abf,Elder_2026_08_17_0061.abf,Elder_2026_08_17_0062.abf,Elder_2026_08_17_0063.abf
